variant,description,topic,client,success
bot-block,returns 403 to agent user-agents,cli,plain-fetch,0
bot-block,returns 403 to agent user-agents,cli,js-fetch,0
redirects,answer behind extra redirect hops,rate-limits,plain-fetch,1
redirects,answer behind extra redirect hops,rate-limits,js-fetch,1
redirects,answer behind extra redirect hops,regions,plain-fetch,1
redirects,answer behind extra redirect hops,regions,js-fetch,1
redirects,answer behind extra redirect hops,auth,plain-fetch,1
redirects,answer behind extra redirect hops,auth,js-fetch,1
redirects,answer behind extra redirect hops,webhooks,plain-fetch,1
redirects,answer behind extra redirect hops,webhooks,js-fetch,1
redirects,answer behind extra redirect hops,cli,plain-fetch,1
redirects,answer behind extra redirect hops,cli,js-fetch,1
ua-cloak,serves the agent user-agent a markdown version,rate-limits,plain-fetch,1
ua-cloak,serves the agent user-agent a markdown version,rate-limits,js-fetch,1
ua-cloak,serves the agent user-agent a markdown version,regions,plain-fetch,1
ua-cloak,serves the agent user-agent a markdown version,regions,js-fetch,1
ua-cloak,serves the agent user-agent a markdown version,auth,plain-fetch,1
ua-cloak,serves the agent user-agent a markdown version,auth,js-fetch,1
ua-cloak,serves the agent user-agent a markdown version,webhooks,plain-fetch,1
ua-cloak,serves the agent user-agent a markdown version,webhooks,js-fetch,1
ua-cloak,serves the agent user-agent a markdown version,cli,plain-fetch,1
ua-cloak,serves the agent user-agent a markdown version,cli,js-fetch,1
