run_id,domain,model,harness,homepage_reached,docs_reached,sitemap_reached,web_search_used,llms_txt_reached,well_known_reached,openapi_reached,agents_md_reached,homepage_first_turn,next_hop_docs,homepage_visits,docs_pages_fetched,web_fetch_calls,format_set_calls,markdown_calls,llms_txt_fetches,llms_txt_linked,well_known_fetches,well_known_linked,openapi_fetches,openapi_linked,agents_md_fetches,agents_md_linked,llms_followed_listing,answer_code_matched_fetch,answer_grounded,answer_ground_kind,site_ships_llms_txt,site_ships_openapi,site_ships_agents_md
29763bd7-cd03-440d-8a88-45e979c44420,monday.com,claude-haiku-4-5,claude-agent-sdk,1,1,0,1,0,1,0,0,1,0,2,5,0,0,0,0,0,2,2,0,0,0,0,,,1,well_known,1,1,0
b5435238-503b-486a-b0d0-ff458808e868,telnyx.com,claude-sonnet-4-6,claude-agent-sdk,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,4,4,0,0,0,0,1,,1,llms_txt,1,1,1
28701258-8e03-496f-8b62-0cc3626a275f,ora.ai,gpt-5.4,eve,1,1,0,0,1,1,1,1,1,0,2,1,6,6,5,1,1,2,2,1,1,1,1,1,1,1,docs_page,1,1,1
7941759a-8120-4521-b0df-bd15353fbf08,zapier.com,claude-haiku-4-5,claude-agent-sdk,1,1,0,1,1,0,0,0,1,1,3,8,0,0,0,1,1,0,0,0,0,0,0,1,,1,docs_page,1,0,1
565ee983-a0c9-4c95-be5b-d6a288095302,monday.com,claude-sonnet-4-6,claude-agent-sdk,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,1,docs_page,1,1,0
c9ff9988-b111-4752-9019-12048a49f58a,zapier.com,gpt-5.4,eve,1,1,0,1,1,0,0,0,1,1,2,5,9,9,8,1,1,0,0,0,0,0,0,0,,1,llms_txt,1,0,1
c2f8e464-a54c-4d93-844e-f1840c08ab2c,ora.ai,claude-sonnet-4-6,claude-agent-sdk,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,2,2,1,1,0,1,1,site_page,1,1,1
64a71cfe-8fbb-4735-b962-2a5dd228d38c,telnyx.com,claude-haiku-4-5,eve,1,1,0,0,1,1,0,0,1,1,2,7,21,21,15,1,1,1,1,0,0,0,0,1,1,1,docs_page,1,1,1
46b9606c-67c5-4bda-b944-6878e5de68a2,zapier.com,claude-sonnet-4-6,claude-agent-sdk,1,1,0,1,1,1,0,0,0,0,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,1,0,1
6e9ea52c-506d-4e3c-8b86-87b81b0f13d5,telnyx.com,claude-haiku-4-5,claude-agent-sdk,1,1,0,1,0,1,1,0,1,1,2,5,0,0,0,0,0,1,1,1,1,0,0,,,1,openapi,1,1,1
3d77ea66-56ac-4516-83aa-2c29c9f0257c,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,1,0,1,1,1,1,4,8,8,7,0,0,1,1,0,0,1,1,,0,1,agents_md,1,1,1
